Date,1. open,2. high,3. low,4. close,5. volume
2024-06-05 19:00:00,167.3800,167.6000,167.2900,167.3000,632427
2024-06-05 18:00:00,167.3400,167.3800,167.2200,167.3000,632383
2024-06-05 17:00:00,167.2500,167.3800,167.2000,167.2200,199
2024-06-05 16:00:00,167.3800,167.3900,166.9600,167.3800,2024209
2024-06-05 15:00:00,167.6200,167.7900,166.8800,167.3800,616366
2024-06-05 14:00:00,166.8000,167.7500,166.6100,167.6250,342903
2024-06-05 13:00:00,166.4400,166.8800,166.3100,166.8300,255097
2024-06-05 12:00:00,166.4800,166.5700,165.9300,166.4200,346687
2024-06-05 11:00:00,166.2300,166.6900,166.1600,166.5200,205683
2024-06-05 10:00:00,166.0800,166.5100,165.7800,166.1800,286762
2024-06-05 09:00:00,166.4600,166.9490,165.9900,166.1000,234762
2024-06-05 08:00:00,166.7700,166.9900,164.5350,164.5350,1755
2024-06-05 07:00:00,166.5100,166.6000,166.2200,166.3000,1300
2024-06-05 06:00:00,166.3600,166.8300,166.3600,166.3600,37
2024-06-05 05:00:00,166.2900,166.7500,166.2900,166.5000,33
2024-06-05 04:00:00,166.4200,166.5500,166.0400,166.5500,31
2024-06-04 19:00:00,165.8100,167.0000,165.8000,165.8400,549993
2024-06-04 18:00:00,165.7800,165.9900,165.6200,165.6500,550370
2024-06-04 17:00:00,164.5500,167.0000,164.4400,165.9700,685
2024-06-04 16:00:00,165.7900,167.3100,165.7900,165.8200,1912404
2024-06-04 15:00:00,166.0200,166.2000,165.5100,165.7900,502904
2024-06-04 14:00:00,165.7930,166.4000,165.7130,166.0350,166192
2024-06-04 13:00:00,165.6600,165.8500,165.2400,165.7800,154965
2024-06-04 12:00:00,165.4900,165.8700,165.4300,165.6500,197549
2024-06-04 11:00:00,165.4800,165.8500,165.1920,165.4900,215939
2024-06-04 10:00:00,165.3000,165.8780,164.7600,165.4500,324246
2024-06-04 09:00:00,165.2200,165.9000,163.8800,165.2500,214337
2024-06-04 08:00:00,165.1600,166.7900,165.0000,165.0000,1771
2024-06-04 07:00:00,165.1600,165.3100,165.1000,165.1700,252
2024-06-04 06:00:00,164.9000,165.5900,164.9000,165.5900,73
2024-06-04 05:00:00,165.2200,165.2800,164.6600,165.2800,41
2024-06-04 04:00:00,165.3600,165.4900,165.1500,165.4900,1298
2024-06-03 19:00:00,165.2800,165.4800,165.1000,165.4800,306009
2024-06-03 18:00:00,165.2800,165.3200,165.1000,165.1600,305738
2024-06-03 17:00:00,165.2400,165.3200,164.9500,165.1300,1128
2024-06-03 16:00:00,165.3060,165.9600,164.3800,165.2400,1087563
2024-06-03 15:00:00,165.0600,165.3600,164.7730,165.3000,516139
2024-06-03 14:00:00,164.7050,165.3300,164.5800,165.0500,260492
2024-06-03 13:00:00,163.8600,164.8200,163.7500,164.6900,330720
2024-06-03 12:00:00,164.6200,164.7200,163.5300,163.8750,270122
2024-06-03 11:00:00,164.6500,164.7800,164.2900,164.6200,271679
2024-06-03 10:00:00,165.3900,165.8300,164.4700,164.6400,339623
2024-06-03 09:00:00,166.5800,166.7900,165.3000,165.4350,304146
2024-06-03 08:00:00,166.7900,168.4400,166.2000,166.5700,2684
2024-06-03 07:00:00,166.7400,166.8000,166.4700,166.7800,805
2024-06-03 06:00:00,166.8900,167.1000,166.2100,166.6900,799
2024-06-03 05:00:00,167.0500,167.4100,166.8300,166.9200,549
2024-06-03 04:00:00,166.9900,167.4300,166.9000,167.0800,184
2024-05-31 19:00:00,166.8500,166.9900,166.8100,166.9000,1744317
2024-05-31 18:00:00,166.8500,166.9900,166.7500,166.9500,1744025
2024-05-31 17:00:00,167.1500,167.1500,166.4800,166.9900,7781
2024-05-31 16:00:00,166.8700,168.0000,166.4800,168.0000,6075869
2024-05-31 15:00:00,164.9600,166.9700,164.8750,166.8700,892645
2024-05-31 14:00:00,164.9050,165.2190,164.7900,164.9750,198147
2024-05-31 13:00:00,164.1200,164.9200,164.1200,164.9000,186955
2024-05-31 12:00:00,164.2400,164.2400,163.8700,164.1100,206769
2024-05-31 11:00:00,164.6100,164.8150,164.0700,164.2200,229376
2024-05-31 10:00:00,164.6100,164.9300,163.8400,164.5600,376944
2024-05-31 09:00:00,166.1700,166.1700,164.4830,164.6200,214147
2024-05-31 08:00:00,165.8900,174.2900,165.2230,167.6500,1143
2024-05-31 07:00:00,165.4100,165.8000,165.2800,165.3300,799
2024-05-31 06:00:00,166.0000,166.0000,165.3600,165.3800,333
2024-05-31 05:00:00,165.8000,165.9200,165.8000,165.8900,35
2024-05-31 04:00:00,165.6000,166.1100,165.5000,165.8500,198
2024-05-30 19:00:00,165.6300,166.0000,165.1200,165.1500,495591
2024-05-30 18:00:00,165.1500,166.0000,165.0500,165.2200,505477
2024-05-30 17:00:00,166.0000,166.0000,165.0700,165.5300,1026
2024-05-30 16:00:00,165.6800,167.6700,164.9800,165.5800,1755072
2024-05-30 15:00:00,165.8900,166.1900,165.3000,165.6800,701793
2024-05-30 14:00:00,165.5600,165.9500,165.1400,165.9100,302715
2024-05-30 13:00:00,165.7100,165.8500,165.3300,165.5650,313172
2024-05-30 12:00:00,164.3900,165.7600,164.3200,165.7000,368094
2024-05-30 11:00:00,164.7300,164.8800,164.2300,164.4000,356189
2024-05-30 10:00:00,165.6250,165.6700,164.2800,164.7300,706086
2024-05-30 09:00:00,165.9800,167.0500,165.5300,165.6400,308336
2024-05-30 08:00:00,166.2170,167.0500,165.5100,165.7300,11473
2024-05-30 07:00:00,165.9500,166.0600,165.6000,165.8500,3035
2024-05-30 06:00:00,166.5000,166.5000,165.2700,165.6000,5179
2024-05-30 05:00:00,166.4500,166.8000,166.4500,166.5000,89
2024-05-30 04:00:00,166.5600,166.5900,166.0200,166.5900,254
2024-05-29 19:00:00,167.0500,167.0500,166.3300,166.6300,867402
2024-05-29 18:00:00,166.8000,167.0500,166.5000,166.6000,855670
2024-05-29 17:00:00,167.0500,167.5200,166.5000,167.0000,7084
2024-05-29 16:00:00,167.1300,169.2700,166.5000,166.6100,2800509
2024-05-29 15:00:00,167.5200,167.8800,166.9300,167.1300,841710
2024-05-29 14:00:00,167.8500,167.9100,167.5050,167.5600,238541
2024-05-29 13:00:00,167.8700,167.9850,167.4200,167.8250,246116
2024-05-29 12:00:00,168.2200,168.2700,167.7700,167.8500,282460
2024-05-29 11:00:00,168.2300,168.6300,166.9450,168.2350,263355
2024-05-29 10:00:00,166.8750,168.3200,166.8090,168.2500,563923
2024-05-29 09:00:00,168.8900,168.8900,166.2100,166.9400,648004
2024-05-29 08:00:00,169.0000,169.6600,168.2000,168.4100,2871
2024-05-29 07:00:00,168.9400,169.0400,168.5600,168.5600,2467
2024-05-29 06:00:00,169.0600,169.0700,168.6900,168.7000,241
2024-05-29 05:00:00,168.9800,169.1300,168.5100,168.6600,148
2024-05-29 04:00:00,169.5200,169.5200,168.8700,168.9200,193
2024-05-28 19:00:00,169.6600,169.8900,169.5600,169.5600,492789
2024-05-28 18:00:00,169.6900,169.8900,169.5000,169.6600,493297
2024-05-28 17:00:00,169.9600,170.2600,169.0300,170.1000,634
2024-05-28 16:00:00,169.7100,171.4100,169.2300,169.9600,1621991
